BalanceViolation - AffinityLoss - Compactness:
2DU60-05-1	 = (0,0,5305.57)
2DU60-05-2	 = (0,0,5466.66)
2DU60-05-3	 = (0,0,5507.88)
2DU60-05-4	 = (0,0,5935.67)
2DU60-05-5	 = (0,0,5303.2)
2DU60-05-6	 = (0,0,5287.46)
2DU60-05-7	 = (0,0,5480.67)
2DU60-05-8	 = (0,0,5309.96)
2DU60-05-9	 = (0,0,5224.52)
2DU60-05-10	 = (0,0,5350.16)
2DU60-05-11	 = (0,0,5150.91)
2DU60-05-12	 = (0,0,5617.37)
2DU60-05-13	 = (0,0,5761.58)
2DU60-05-14	 = (0,0,5462.96)
2DU60-05-15	 = (0,0,5339.52)
2DU60-05-16	 = (0,0,5399.54)
2DU60-05-17	 = (0,0,5602.85)
2DU60-05-18	 = (0,0,5773.96)
2DU60-05-19	 = (0,0,5543.49)
2DU60-05-20	 = (0,0,5767.54)
2DU80-05-1	 = (0,0,5879.1)
2DU80-05-2	 = (0,0,6152.26)
2DU80-05-3	 = (0,0,6337.19)
2DU80-05-4	 = (0,0,6307.6)
2DU80-05-5	 = (0,0,5564.83)
2DU80-05-6	 = (0,0,5843.01)
2DU80-05-7	 = (0,0,5749.21)
2DU80-05-8	 = (0,0,5936.33)
2DU80-05-9	 = (0,0,5942.08)
2DU80-05-10	 = (0,0,5877.3)
2DU80-05-11	 = (0,0,6139.63)
2DU80-05-12	 = (0,0,6219.44)
2DU80-05-13	 = (0,0,5698.43)
2DU80-05-14	 = (0,0,5983.86)
2DU80-05-15	 = (0,0,6234.89)
2DU80-05-16	 = (0,0,6075.27)
2DU80-05-17	 = (0,0,6349.43)
2DU80-05-18	 = (0,0,6271.26)
2DU80-05-19	 = (0,0,5882.94)
2DU80-05-20	 = (0,0,5943.43)
2DU100-05-1	 = (0,0,6599.62)
2DU100-05-2	 = (0,0,7031.95)
2DU100-05-3	 = (0,0,6995.8)
2DU100-05-4	 = (0,0,7052.17)
2DU100-05-5	 = (0,0,7195.5)
2DU100-05-6	 = (0,0,6507.52)
2DU100-05-7	 = (0,0,6995.81)
2DU100-05-8	 = (0,0,6556.91)
2DU100-05-9	 = (0,0,6734.3)
2DU100-05-10	 = (0,0,7292.96)
2DU100-05-11	 = (0,0,6629.17)
2DU100-05-12	 = (0,0,7027.77)
2DU100-05-13	 = (0,0,7017.5)
2DU100-05-14	 = (0,0,7360.14)
2DU100-05-15	 = (0,0,6634.99)
2DU100-05-16	 = (0,0,7028.91)
2DU100-05-17	 = (0,0,6264.45)
2DU100-05-18	 = (0,0,7066.65)
2DU100-05-19	 = (0,0,6686.65)
2DU100-05-20	 = (0,0,7021.45)
2DU120-05-1	 = (0,0,7213.19)
2DU120-05-2	 = (0,0,8016.26)
2DU120-05-3	 = (0,0,7996.53)
2DU120-05-4	 = (0,0,7880.4)
2DU120-05-5	 = (0,0,7721.38)
2DU120-05-6	 = (0,0,7880.4)
2DU120-05-7	 = (0,0,7970.4)
2DU120-05-8	 = (0,0,7996.53)
2DU120-05-9	 = (0,0,7923.13)
2DU120-05-10	 = (0,0,8033.21)
2DU120-05-11	 = (0,0,7213.19)
2DU120-05-12	 = (0,0,7505.27)
2DU120-05-13	 = (0,0,7913.89)
2DU120-05-14	 = (0,0,7970.4)
2DU120-05-15	 = (0,0,7839.7)
2DU120-05-16	 = (0,0,8798.98)
2DU120-05-17	 = (0,0,7913.89)
2DU120-05-18	 = (0,0,7839.7)
2DU120-05-19	 = (0,0,8042.41)
2DU120-05-20	 = (0,0,8016.26)
DU150-05-1	 = (0,0,9206.84)
DU150-05-2	 = (0,0,9055.55)
DU150-05-3	 = (0,0,9049.91)
DU150-05-4	 = (0,0,9124.81)
DU150-05-5	 = (0,0,9254.69)
DU150-05-6	 = (0,0,8833.92)
DU150-05-7	 = (0,0,9421.7)
DU150-05-8	 = (0,0,8528.06)
DU150-05-9	 = (0,0,9680.4)
DU150-05-10	 = (0,0,9284.76)
DU200-05-1	 = (0,0,10359.8)
DU200-05-2	 = (0,0,10061.4)
DU200-05-3	 = (0,0,10272.8)
DU200-05-4	 = (0,0,9989.64)
DU200-05-5	 = (0,0,9965.99)
DU200-05-6	 = (0,0,10519.6)
DU200-05-7	 = (0,0,10633.6)
DU200-05-8	 = (0,0,9963.29)
DU200-05-9	 = (0,0,10706.9)
DU200-05-10	 = (0,0,10530.5)
